Salary,Job Description,Location,Min_years_exp,Technical,Comm,Travel
67206,"Civil Service Title: Regional Director Mental Health Services, M-2  Full Time; Evenings and Weekends as needed  New York City Department of Health and Mental Hygiene, Division of Mental Hygiene seeks one fulltime Executive Director for the Co-Response/Heat Program. The unit employs law enforcement, clinical and non-clinical professionals to engage and support individuals with mental health issues, substance use, co-occurring disorders and health issues who can benefit from short-term engagement, support and linkage to services in the promotion of better health and criminal justice outcomes.   Program Background:   The Unit is comprised of three primary components:   -	Triage Desk: act as Teamâ€™s â€œair traffic control,â€ receiving and processing all incoming referrals to determine the most appropriate response, and provide clinical consultation to members of the force.   -	Co-Response team: Clinician and NYPD officer teams conducting community deployments.   -	Health Engagement and Assessment Teams (HEAT), health-only teams working with people identified by the community and first responders, with mental health and substance use who may benefit from short term engagement and support.    Note: All staff traveling in NYPD patrol vehicles are required to wear bullet resistant vests.      The ideal candidate will be:  -	Passionate about social justice & health equity  -	Committed to building a diverse and inclusive culture with law enforcement, city agencies and other social service partners    The Executive Director, reporting directly to the Special Advisor on Criminal Justice, is primarily responsible for leadership and management of all Program operations, overseeing all policy, budgetary, programming and personnel matters. The Executive Director will:  -	Provide overall program leadership and oversight.     -	Supervise all members of the leadership team: Director of Operations, Clinical Director, and Director of Monitoring and Evaluation.  -	Monitor the Unitâ€™s clinical practices, protocols and overall supervision structure.   -	Develop and operationalize the Unitâ€™s strategic plan, including long & short term goals.  -	Lead the HEAT Advisory Group, and represent the program to Senior Health Department staff, City Hall, Sr. NYPD staff, Other City Agencies, OMB and other external parties.  -	Oversee programâ€™s fiscal, personnel and programmatic matters.  -	Manage related press issues, in coordination with DOHMH Press office.   -	Manage inter-governmental  matters, under direction of DOHMH Office of External Affairs.      -	Oversee and manage overall programmatic performance measures and develop corrective action plan to address issues and challenges as needed.  -	Other duties, as assigned.",Remote,5,2,3,0
88313,"The New York City Comptrollerâ€™s Office Bureau of Asset Management (BAM) is responsible for oversight of the investment portfolio of the New York City Retirement Systems (Systems), which comprises five pension systems. The Systemsâ€™ $200 billion portfolio is managed primarily by external investment managers, and is largely invested in publicly traded securities, with growing allocations to private equity, real estate, infrastructure, hedge funds and opportunistic fixed income investments.   The Senior Investment Officer will assist in overseeing BAMâ€™s Alternative Credit program, comprising opportunistic, high yield and bank loan mandates, which currently have a target asset allocation of approximately $18 billion.  Under the general direction of the Head of the division, responsibilities include, but are not limited to, the following:   â€¢ Maintaining internal databases of prospective investment opportunities; performing technical analyses and developing fund summaries on prospective investment opportunities; working with the    investment team and the Systemsâ€™ consultants to identify, review and evaluate prospective investment opportunities;  â€¢ Preparing decision-making documents for internal Investment Committees and for Boards of Trustees; coordinating the administrative processes required for all investments; assisting the    investment team, the General Counselâ€™s office, and consultants in the legal negotiation and the legal documentation processes of new investment agreements and other related contracts;   â€¢ Monitoring and managing the portfolio of existing investments to ensure compliance with the terms of the limited partnership agreement and other contracts; maintaining internal databases of    existing investments; constructing financial models, performing technical analyses and developing update fund summaries for existing investments;   â€¢ Preparing research analyses on market trends, strategies, industries, sectors, geographies and other topics as required; developing, updating and ensuring the accuracy of reports that track    partnership reporting, including the financial statements, quarterly reports, notices of distributions, capital calls and investment valuations;   â€¢ Working closely with the investment operations team, the Systemsâ€™ consultants and custodian to report internally on the performance of the Systemsâ€™ investment portfolio; assisting in processing    capital calls and distributions; monitoring, tracking and processing amendment requests, consent notices and other contract changes;   â€¢ Participating in limited partner advisory committee meetings, annual meetings and quarterly update calls and using relationships with general partners to monitor fund developments; preparing    written meeting reports; updating reports to track Systemsâ€™ activity; and coordinating investment conferences and other events;",Remote,5,2,4,10-15
81315,"With minimal supervision from the Deputy Commissioner of Operations and the Director of Watch Command, with latitude for independent initiative and judgment, the incumbent will supervise the daily operation of Watch Command (the NYC Emergency Management communications center).  The duties are as follows: 	 â€¢	Supervising the on-duty staff of Watch Command â€¢	Coordinating with the Director of Field Response to monitor and update the status of response personnel and assets â€¢	Ensuring adequate staffing for upcoming tours of duty â€¢	Ensuring that communication about public safety or public health incidents that adversely impact the City and require a multi-agency response are properly processed including, but not limited to, confirming the scope and nature of incidents, ensuring that agency notifications are performed, analyzing information from multiple sources, preparing reports for dissemination to Executive Staff and senior officials of the City, and interfacing with the Cityâ€™s Emergency Operations Center (EOC) â€¢	Supporting communications in the field at large events or incidents â€¢	Conducting weather briefings with the National Weather Service (NWS) and report potential impacts to Executive Staff. â€¢	Performing staff training â€¢	Assisting in drills and exercises â€¢	Other duties as assigned by the Deputy Commissioner of Operations or the Director of Watch Command  The selected candidate will be assigned to periodic Emergency Operations Center team and will be expected to work non-business hours during emergencies. The selected candidate will also participate in drills and exercises, assist with Ready NY presentations to external groups, and will undertake special projects as assigned.",East campus,5,3,3,5-10
76426,"OPEN TO CURRENT BUSINESS PROMOTION COORDINATORS ONLY. YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME AND COVER LETTER. FAILURE TO DO SO WILL RESULT IN YOUR DISQUALIFICATION.  The NYC Department of Consumer Affairs (DCA) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCA licenses more than 81,000 businesses in more than 50 industries and enforces key consumer protection, licensing, and workplace laws that apply to countless more. By supporting businesses through equitable enforcement and access to resources and, by helping to resolve complaints, DCA protects the marketplace from predatory practices and strives to create a culture of compliance. Through its community outreach and the work of its offices of Financial Empowerment and Labor Policy & Standards, DCA empowers consumers and working families by providing the tools and resources they need to be educated consumers and to achieve financial health and work-life balance. DCA also conducts research and advocates for public policy that furthers its work to support New York Cityâ€™s communities. For more information about DCA and its work, call 311 or visit DCA at nyc.gov/dca or on its social media sites, Twitter, Facebook, Instagram and YouTube.  With a staff of more than 90 people, the Licensing Centers in Manhattan and Queens accept, process, and approve business license applications, ensure customer service and quality assurance in a professional manner. In addition, the Licensing Division performs front office functions for permits issued by Department of Health and Mental Hygiene (DOHMH) and works in close collaboration with NYC Small Business Services in the NYC Small Business Support Center (SBSC) promoting business opportunities in New York.  The Centers offer Licensing services to the community and promote effective relations between the government and small businesses.   Under general supervision of the Assistant Commissioner of Licensing, the Deputy Director of Special Applications and Operations will be responsible for overseeing staff members processing business license applications in person and online for multiple license categories, requiring approvals and notifications from multiple internal and outside stakeholders and requiring high degree of attention, troubleshooting and communications with businesses.   The Deputy Director of Special Applications and Operations will be actively involved in a wide range of public service initiatives in accordance with the DCA mission. In close coordination with multiple agencies, including but not limited to the Public Design Commission, Community Boards through five boroughs, NYS Department of Transportation, NYC Department of Transportation,  Department of Environmental Protection, Department of Parks and Recreation, NYPD (as it relates to Directed Accident Response Program and NYC Rotation Tow Program and other relevant issues), Department of Environmental Protection, Department of Motor Vehicles, Department of Buildings, Department of City Planning, City Council, Comptrollerâ€™s Office, Mayorâ€™s Office of Contract Services, DoITT and other government bodies, as well as offices of elected officials, Deputy Director of Special Applications and Operations will be responsible for improving communications between the agencies, external stakeholders and businesses. The position will require close cooperation with DCA Office of Labor Policy and Standards, General Counsel, Enforcement and other agency divisions. The Deputy Director of Special Applications and Operations will also be tasked with working understanding of the tobacco legislation, as it directly relates to the unitâ€™s daily work. This position will require working with DCAâ€™s sister agencies on licensing implementation of key legislation.  The Deputy Director of Special Applications and Operations will run and analyze reports and come out with recommendations with enhanced efficiency and opportunities to assist NYC business community operate legally and reduce administrative burden where possible.   Responsibilities include but are not limited to:   â€¢Establishing and implementing control mechanisms to ensure efficiency of the Licensing Centers operations;  â€¢Supervising staff assigned to run the daily operations of the Licensing Centers;  â€¢Ensuring compliance with relevant laws and regulations as well as ensuring proper procedures and protocols are followed in processing and issuing licenses and permits;  â€¢Ensuring Quality Assurance is performed on regular and consistent basis;  â€¢Using data to analyze the function and efficiency of the Division to optimize performance;  â€¢Regularly creating, compiling and analyzing reports and data to report on the Division's performance including specific reports for Agency Management and the Mayor's Management Report;  â€¢Developing and updating operational manuals, forms, tracking systems and procedures to ensure uniformity and proper accounting for all fees processed by the Licensing Division;  â€¢Overseeing the development and implementation of training plans to maximize staff productivity and customer service;  â€¢Supervising and participating in special projects and initiatives;  â€¢Working cooperatively with internal and external partners including other Agency Divisions, City agencies, and community groups;  â€¢Actively participating in managing the Division's fiscal, personnel, and administrative affairs in cooperation with the Agency's Administrative Divisions;  â€¢Identifying operational problems and providing recommendations for re-engineering processes;  â€¢Performing other related work.",East campus,1,1,3,0
55675,"Only candidates who are permanent in the Principal Administrative Associate title or those who are reachable on the current Open-Competitive list (Exam #5039) or Promotional list (Exam #5537) may apply. Please include a copy of your Notice of Result card or indicate if you are already permanent in the title. Failure to do so will result in your disqualification.   The NYC Department of Design and Construction, Infrastructure Division seeks two Citywide Assistants to work under the supervision of the Citywide Coordinator. The selected candidates will assist in the process of Requests for Approval Subcontractor (RFAS) for the five boroughs. Other key responsibilities include working with ACCO's office, Program Management unit, Engineers-in-Charge, and City Agencies to address all requests and inquiries pertaining to service approvals; verifying registration and project numbers in CDS (Contract Data System); and preparing correspondence to contractors, memoranda to Agency Senior Management, forms, and written guidelines for processing and monitoring Subcontractor approvals. In addition, the selected candidate will be analyzing and researching issues concerning all subcontractors and tracking approval; reviewing subcontractors and tracking services applications; maintaining a detailed tracking system; and performing special assignments as needed.",Southeast campus,1,1,3,5-10
88589,"The New York City Department of Sanitation (DSNY) keeps New York City healthy, safe, and clean by collecting, recycling, and disposing of waste, cleaning City streets and vacant lots, and clearing snow and ice. DSNY is the nationâ€™s largest municipal sanitation agency, with nearly 10,000 employees, 59 district garages, and a fleet of more than 5,000 trucks, cars and other types of equipment.  DSNY Operations Management Division (OMD) is recruiting Data Scientist to lead research and development efforts in the area of advanced analytics using machine learning techniques. Under supervision and with significant latitude for independent judgment, the Data Scientist will develop analytical capabilities across agency divisions and support agency executives in planning for and analyzing data on collection, cleaning, snow removal, environmental compliance and other operations. The selected applicant will work on analytical projects involving geospatial databases, machine learning, deep learning, computer vision, and routing algorithms. The Data Scientist will work in the Enterprise Geospatial Program Management Office and will coordinate strategic planning for geospatial data science technologies, research and develop innovative machine learning applications, and support agency operations with advanced geospatial analytics.       The primary responsibilities of this position are to:  â€¢	Supervise essentially independent investigations in a major field of physical, biological, environmental or social science â€¢	Evaluate methods, procedures, and data obtained from scientific investigation  â€¢	Assist in coordinating the research efforts of the agency with research projects in other agencies or institutions â€¢	Study and evaluate literature in the scientific field of specialization â€¢	Write papers on research results or findings for publication",Remote,1,2,4,10-15
50253,"The NYC Law Department is seeking a currently permanent Paralegal Aide for a Level 2 position in the Interstate Child Support Unit of its Family Court Division.This position encompasses responsible work of varying degrees of difficulty and responsibility performed under supervision of higher level staff and/or attorneys.  Qualified candidates will, with latitude for independent initiative and judgment, perform one or more of the following types of paralegal duties:  Review and evaluate child support cases to prepare correspondence with the initiating states.  Work collaboratively with the assigned attorneys to gather discovery and evidence needed to proceed in court.  Interview local custodial parents and prepare the necessary paperwork to send to the state of residence of the non-custodial parent. Maintain contact with the responding state and the local parent until completion of the case.  Researches case information using Law Manager and other databases.  Perform legal research.  Performs data entry. Enter the cases into internal case creation database.  Perform routine administrative duties when necessary including: photocopying, answering telephones, and managing calendars of attorneys.  Some of the physical activities performed and environmental conditions experienced include lifting and carrying boxes and files; climbing stairs; and traveling throughout the City on all types of public transportation, and/or walking in all kinds of weather, often carrying files.",HQ,1,1,3,0
60125,"Emergency and Intervention Services (EIS) provides a variety of comprehensive emergency social services to vulnerable populations.  These services address immediate and long term needs of individuals and families, and are administered through a matrix of programs that include the following:  the Office of Domestic Violence, Emergency Food and Nutrition Assistance Services, the Home Energy Assistance Program, and Emergency Utility Intervention Programs as well as several programs which are initiatives of the Mayorâ€™s Office to End Domestic and Gender-Based Violence.  The Mayorâ€™s Office to End Domestic and Gender-Based Violence, established in 2001, coordinates the citywide delivery of domestic violence services, develops policies and innovative programs and works with diverse communities, City agencies, community based organizations and local leaders to raise awareness about domestic violence and strengthen the safety net for survivors and their children.  In November 2016, Mayor Bill de Blasio announced a NYC Domestic Violence Task Force (DVTF) to develop a comprehensive citywide strategy to reduce domestic violence by intervening as early as possible, enhancing pathways to safety for survivors and ensuring swift, effective and lasting enforcement to hold abusers accountable.  The Task Force is co-led by the Mayorâ€™s Office to End Domestic and Gender-Based Violence (ENDGBV) and the Mayorâ€™s Office of Criminal Justice (MOCJ).    EIS is recruiting for one (1) Community Coordinator for the ENDGBV to function as Contract Analyst.  The Community Coodinator will:  â€¢	Monitor contracts related to DVTF programming to ensure that each vendor is meeting contractual services and performance goals;  â€¢	Track vendor performance over the course of the contract term including, but not limited to, reviewing programmatic and fiscal reports, conducting site visits and providing technical support to vendors;  â€¢	Negotiate contracts, including adherence to performance guidelines, as well as the budget constraints applicable to individual contracts;   â€¢	Process procurements from inception to contract execution, including adherence to the Cityâ€™s Procurement Policy Board rules, creation of proper documentation, and registration of procurements with the New York City Comptrollerâ€™s Office;  â€¢	Complete detailed performance reports for oversight agencies, such as the Mayorâ€™s Office of Contract Services; and  â€¢	Audit and process monthly performance invoices, which require a comprehensive understanding of contract provisions to assure the propriety of a given invoice.",HQ,1,1,4,10-15
67548,"The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New York, and has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the cityâ€™s surrounding waterways.  New York City has approximately 140,000 catch basins, 114,000 hydrants, 90,000 valves, 14 gatehouses, 3 reservoirs, 68 groundwater wells, a 100 million gallon underground storage tank and 7,000 miles each of both sanitary sewers and water mains. The responsibility of maintaining these vast networks falls under the Department of Environmental Protectionâ€™s Bureau of Water and Sewer Operations (BWSO).  The primary responsibilities of the Bureau of Water and Sewer Operations are: the operation, maintenance and protection of the Cityâ€™s drinking water and wastewater collection (sewer) systems; the protection of adjacent waterways; and the development and protection of the Departmentâ€™s Capital Water and Sewer Design Program. The Bureau also approves and inspects water and sewer connections performed by licensed plumbers and/or authorized contractors. In addition, the Bureau has overall responsibility for the approval and inspection of all public and private construction projects which could impact on the Cityâ€™s water or sewer systems.  The Bureau is also responsible for the operation of the Staten Island Bluebelt. This is an ecologically sound, cost effective natural alternative to storm sewers, which occupies approximately 15 square miles of land in the South Richmond area of Staten Island. This project preserves streams, ponds and other wetland (""bluebelt"") areas, allowing them to perform their natural function of conveying, storing and filtering storm water. These areas also provide important community open spaces and a diverse wildlife habitat.  Working within the Bureau of Water & Sewer Operations (BWSO), Division of Capital Program Management, under administrative direction of the Engineer-in-Charge, Non-linear Capital Program Management (EIC), the Civil Engineer I will perform tasks associated with planning, coordinating and overseeing the development and progress of multiple non-linear capital and expense work as identified and directed by the EIC.  Non-linear BWSO assets include all in-city reservoirs and dam facilities, water (surface and groundwater) treatment facilities, City Tunnels and associated shafts, in City aqueducts, drinking water pump stations, operational garages, various office facilities and other miscellaneous structures.  The Civil Engineer I will be responsible for activities in several main areas, which includes:  1) Reviewing design plans, specifications, and reports for major non-linear capital/expense projects.  Engages in the conduct of research, investigation studies or examinations related to the engineering  functions or activities on BWSO non-linear assets.  2) Maintaining a detailed record of job progress, schedule and budget; tracks and manages any changes to scope.  3) May represent the Bureau/Division in interfacing with various stakeholders such as Bureau of Engineering, Design, and Construction (BEDC), Department of Design and Construction (DDC), consultants, contractors and operational staff.  Attends meetings, perform field visits, and responds to various project inquiries from internal and external sources.  4) Writing Project Business Cases, including development of preliminary schedule and budget for new non-linear capital projects.  5) Performing miscellaneous in-house planning and engineering services for BWSO Operations.  May also provide special project support to the Chief, Non-linear Capital Program Management.",HQ,5,2,4,0
48402,"The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City government, City agencies, and City employees, vendors with City contracts, individuals and entities that receive City funds.  The Background Investigation Unit conducts confidential investigations on New York City employees to help determine if they are suited to serve the public trust. The Administrative Assistant selected for this position will be responsible for a variety of office tasks, including but not limited to: scheduling meetings and appointments; maintaining calendars and schedules; maintaining, updating, filing, and organizing electronic and paper records; answering telephones; ordering and organizing office supplies; drafting correspondence; creating meeting agendas; scanning, shredding, and copying files; sorting, stamping and distributing incoming faxes and mail, fingerprinting candidates, and performing other tasks in support of both investigative and office administration. The selected candidate will also assist with the day to day operations of the unit and various special projects on an as-needed basis.  If selected, the candidate will be fingerprinted and undergo a background investigation. In addition, for positions that have a law enforcement and/or investigative function, the candidate's consumer credit history will be reviewed during the background investigation, and as otherwise permitted by NYC Administrative Code Â§ 8-107(24)(b)(2)(A).",East campus,5,2,4,0
